@RELATION tweets

@ATTRIBUTE tweet string
@ATTRIBUTE class {0,1}

@DATA
'O auge da noite foi minha amiga beba indo no bar ao lado pedir p cantores pararem de tocar the scientist pq eu tava triste e na bad', 0
'@caique_chms Bad de bêbeda', 0
'Tô aqui livre pensando na tristeza que esse menino deve estar lá dentro nu isso me deixa bad dms 💔', 0
'RT @lucasferrarim: Isso tbm serve para quem tiver bad em festa, ficar travado ou está numa onda muito lixo pode tomar tbm.O carvão vegetal…', 0
'Dia dos namorados chegando e a bad vai aumentando', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'RT @chaomendespg: BAD REPUTATION EU TE AMO ', 0
'só queria alguém pra falar sobre oq aconteceu ontem e que essa pessoa não me julgasse, voluntários só chamar plsss', 0
'Madrugada na bad e twittando, parece até que voltei pra 2009', 0
'A bad chega quando o bagulho rende até pro meu irmão', 0
'RT @OiiMeninas_: eu depois da bad ', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'Bad e trampar no sábado até às 22h, mas fazer oque né', 0
'Queria a força de vontade de ir para os cantos, se vdd, não quero ir para o pingo e nem sair mais, tô muito na bad,… ', 0
'terminei breaking bad mano que série do caralho, nem sei pq não assisti antes', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'@dudukovalski nossa, q bad', 0
'@LaraSilva1998 @PrintsDepressao Bad da disgraçaaaa kkkkk', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'- Prefiram Ténis Com Cano Alto E Para A Noite Um Salto- Não Saiam De Casa Sem Estarem A Sentiresm-se Confiantes. A… ', 0
'RT @OiiMeninas_: eu depois da bad ', 0
'meu Deus q merda', 0
'To me sentindo o baco , to com a alto estima boa mais to na bad hahahahaha', 0
'Se eu ficar na bad é culpa minha. Nem me alimentei ainda e já to ouvindo João Bosco.', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'Sugestões de séries incríveis, tipo: 1. Chernobyl2. You 3. Breaking Bad Alguém tem?', 0
'Brother, quero ver quando serei exaltado viu, pq ir p foa essa hora e nesse frio é bad!', 0
'RT @lindavinho: Eu: hoje não vou stressarExame de anatomia: faltam 3 dias Eu: 🙃🙃🙃🙃🙃🙃', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'RT @theumilk99: Que espécie de monstro é que caga com o tampo levantado? ', 0
'Querida, quando eu acordo é uma bad fudida', 0
'n queria abrir mão disso n, q bad', 0
'@arthuromoraes Amigo, depois que fiz 26 penso nisso 24h por dia. Às vezes bate uma bad, mas as vezes penso que sou… ', 0
'estava tudo bem ontem, até eu começar a chorar e entrar numa bad q não tinha fim', 0
'Fico mt bad com essas coisas', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'acordei na bad hoje.... qualé', 0
'acordei muito bad, nossa senhora', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'nossa que bad', 0
'fds esqueci-me das pulseiras my bad', 0
'RT @OiiMeninas_: eu depois da bad ', 0
'Sem celular hj q bad', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'RT @2jae_Brasil: Indo todo bad boy e voltando todo neném#GOT7 #갓세븐 #JB ', 0
'dormi assistindo breaking bad e sonhei que estava traficando droga kkkkkkkkkkkkkkkkkjkj', 0
'RT @lucasferrarim: Isso tbm serve para quem tiver bad em festa, ficar travado ou está numa onda muito lixo pode tomar tbm.O carvão vegetal…', 0
'preciso ir no banheiro mas se eu vou um pouco pro lado o Guilherme me abraça e não me deixa sair de perto dele hsuahs anjo', 0
'Vamos ver se essa bad não vai passar com uns corote pela noite, vamos ver.', 0
'To tão na bad, queria ter um aniversário incrível, mas sempre que ta chegando eu fico assim', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'ele é tão lindo dormindo mds', 0
'acordei e tem simplesmente a coisinha mais linda do mundo todo dormindo do meu lado mds do céu como eu amo meu namorado', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'agora voltando pro ep 2 e vendo ele desfigurado por conta da radiação me deixa na bad demais', 0
'Tem gente que tem o poder de te tirar da bad. @LariAmarall foi essa pessoa. Tô rindo até agora...', 0
'Querida, quando eu acordo é uma bad fudida', 0
'Por que tão cedo, bad? Por que justamente ao sábado?', 0
'@Kathy_safadinha @heinz_spack @motabhia1 @erickvegas4u @sexxxyladies940 @MySexyGirlsPics @MSGP0 @AdminLK @bele3546… ', 0
'RT @OiiMeninas_: eu depois da bad ', 0
'RT @lacerda: eu depois q volto de uma bad fudida ', 0
'RT @2jae_Brasil: Indo todo bad boy e voltando todo neném#GOT7 #갓세븐 #JB ', 0
'Haddad diz que série Chernobyl “não é comparável com Breaking Bad” e que há “coisas piores que Bozo” ', 0
'RT @chaomendespg: BAD REPUTATION EU TE AMO ', 0
'RT @Haddad_Fernando: Não é comparável a Breaking Bad, como dizem, mas é obrigatório. Há coisas piores do que o Bozo. Chernobyl (2019–2019)…', 0
'Ja acordei na bad', 0
'@g0ulaarte Breaking bad sem dúvidas &lt;3', 0
'Quem ama não consegue ver o outro triste, chorando, deprimido, com o coração apertado. Quem ama quer enxugar a lágr… ', 0
'É de embasbacar que um sujeito que diz trabalhar pelo povo tenha a CARA DE PAU de fazer um projeto de lei desmere… ', 0
'O Ártico morre. Enquanto estamos fazendo qualquer coisa, o Ártico morre. É tão enorme isso. E testemunhamos essa en… ', 0
'RT @_GcCamargo: é incrível como qualquer coisa me deixa triste', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'RT @_dannielzs: meu maior erro é ler mensagens antigas e ficar triste', 0
'@MaurilioBarbosa Ele errou em expor detalhes da vida dela, deve ser julgado por isso pra servir de exemplo, não pod… ', 0
'RT @liandracll: feia solteira e triste', 0
'RT @xotatriste: feia triste desempregada e mal comida', 0
'RT @sincerojesuis: no wpp: - vc n ficou triste nao né??- nao po rlxeu no twitter 2 minutos dps:acho engraçado q tem gente q nao tem…', 0
'RT @sincerojesuis: no wpp: - vc n ficou triste nao né??- nao po rlxeu no twitter 2 minutos dps:acho engraçado q tem gente q nao tem…', 0
'RT @abaporuzin: Gente fico triste que vejo vários trampos sendo bem divulgados e o meu sempre dá uma flopadinha aqui no twitter será se sou…', 0
'RT @Eithoom: Todo fds eu vendo a galera fazendo o pos role eu fico ate meio triste pq nao saio mais', 0
'RT @minc_rj: Vejam este lindo vídeo que mostra o valor das unidades de conservação: para a biodiversidade, clima, turismo, água e agricultu…', 0
'RT @IsabelaaFreitas: Quem ama não consegue ver o outro triste, chorando, deprimido, com o coração apertado. Quem ama quer enxugar a lágrima…', 0
'triste e atrasado', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'RT @juliojustus: Tô tão triste será que alguém pode me pagar 10g de hash, fullmelt pfvr', 0
'Ainda tô triste que não escalei meu time. Não foi a minha intenção, eu só estava esperando os jogos das oitavas da… ', 0
'RT @jkjiminssi: me dá medo saber que tem gente  que n consegue enxergar o bts como HUMANOS, tae tava pura alegria no palco, como está sempr…', 0
'RT @GonAkaResende: Só me apetece é chorar, parece que há sempre algo de errado, há sempre alguma cena a meter me triste e a fazer com que f…', 0
'RT @sincerojesuis: no wpp: - vc n ficou triste nao né??- nao po rlxeu no twitter 2 minutos dps:acho engraçado q tem gente q nao tem…', 0
'RT @_dannielzs: meu maior erro é ler mensagens antigas e ficar triste', 0
'Incrível cm ele fala pra td mnd q eu nunca do presente pra ele, chego a ficar cm vergonha de tão triste q fico. Com… ', 0
'RT @IsabelaaFreitas: Quem ama não consegue ver o outro triste, chorando, deprimido, com o coração apertado. Quem ama quer enxugar a lágrima…', 0
'RT @amanda_kest: Mais uma triste baixa na seleção brasileira aqui na França. Erika será substituída pela zagueira Daiane. Apesar de melhora…', 0
'RT @inespp25: fico mesmo triste com estas merdas mas nem me vou chatear mais', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'RT @_frannmotta: ultimamente qualquer coisinha é motivo p eu ficar profundamente triste e quase morrer chorando, que ódio', 0
'Tou tão triste fds', 0
'q noticia triste hj tem jogo ', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'RT @GonAkaResende: Só me apetece é chorar, parece que há sempre algo de errado, há sempre alguma cena a meter me triste e a fazer com que f…', 0
'RT @bunnyjkbia: Fiz uma coisa e fiquei triste de amor @BTS_twt ', 0
'RT @nuvemmaria: O ilustrador Nicolas Amiard separou famosas duplas da cultura pop no projeto Summer Adventures como forma de conscientiza…', 0
'@moon_1866 deve ser triste demais torcer pro Inter, ba', 0
'RT @minc_rj: Vejam este lindo vídeo que mostra o valor das unidades de conservação: para a biodiversidade, clima, turismo, água e agricultu…', 0
'Tô muito triste', 0
'RT @favstribbiani: é mt triste acompanhar series da netflixeles lançam pouquíssimos episódios por temporada, não divulgam nada direito, de…', 0
'Vim pra Unisul fazer prova no sábado é muito triste, ☹️', 0
'É tão triste quando vc quer sair, mas não tem ninguém pra ir ctg.', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'RT @nuvemmaria: O ilustrador Nicolas Amiard separou famosas duplas da cultura pop no projeto Summer Adventures como forma de conscientiza…', 0
'RT @falaloh: na madrugada triste e com tesão 😭😭😭😭😭🥵🥵🥵🥺🥺🥺🥺😔😔😔😭😭😭😭🥺🥺🥺🥵🥵🥵😔😔😔🥺🥺🥺🥺', 0
'@chimishades MANO SIM, eh triste isso pq so lembram dele por causa do homem aranha grrrr (não sempre mas na maioria das vezes)', 0
'Falem comigo migos :(Tou triste :(((((((((((((((((', 0
'RT @gottabesirius: taehyung é um homão, gosta de música clássica, sabe tocar saxofone e tá aprendendo a tocar violino, ama arte, fotografia…', 0
'RT @gottabesirius: taehyung é um homão, gosta de música clássica, sabe tocar saxofone e tá aprendendo a tocar violino, ama arte, fotografia…', 0
'RT @AmorazMV: não é bue triste voces ja nao se sentirem amigos dos vossos amigos?', 0
'RT @jkjiminssi: me dá medo saber que tem gente  que n consegue enxergar o bts como HUMANOS, tae tava pura alegria no palco, como está sempr…', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'pqp eu to mt triste velho ', 0
'RT @filipemoraisz: sei lá o secundário deu me uma visão diferente da que tinha sobre dormir... 10 minutos livres? dormir... triste? dormir.…', 0
'RT @sincerojesuis: no wpp: - vc n ficou triste nao né??- nao po rlxeu no twitter 2 minutos dps:acho engraçado q tem gente q nao tem…', 0
'@mrspeclat_ @craiskc @anealvaaa Kkkkkkk eu c certeza sou a triste', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'RT @craiskc: um grupo de amigo de 3 pessoas sempre eh composto por uma pessoa tristeuma pessoa q da conselhos pra pessoa tristee uma pess…', 0
'RT @IsabelaaFreitas: Quem ama não consegue ver o outro triste, chorando, deprimido, com o coração apertado. Quem ama quer enxugar a lágrima…', 0
'RT @brumelianebrum: O Ártico morre. Enquanto estamos fazendo qualquer coisa, o Ártico morre. É tão enorme isso. E testemunhamos essa enormi…', 0
'RT @jkjiminssi: me dá medo saber que tem gente  que n consegue enxergar o bts como HUMANOS, tae tava pura alegria no palco, como está sempr…', 0
'RT @GonAkaResende: Só me apetece é chorar, parece que há sempre algo de errado, há sempre alguma cena a meter me triste e a fazer com que f…', 0
'RT @vicenteaires11: É triste quando pessoal que já viveu tanto ctg não é capaz de ligar ou mandar uma mensagem 🤣', 0
'RT @Tayssa_moreiira: É mó triste vê a pessoa q a gente gosta com outra', 0
'e nunca um parabéns na escola hahahaa.. triste ', 0
'RT @asadecera: rt se vc esta: • puto• querendo bjar na boca• triste• carente• querendo desistir de tudo• com saudade de alguem• com…', 0
'Eu quando tô triste ', 0
'RT @Relacionemos: no wpp: - vc n ficou triste nao né??- nao po rlxeu no twitter 2 minutos dps:acho engraçado q tem gente q nao tem n…', 0
'RT @sincerojesuis: o twitter é um lugar louco né vc faz amizade dps é trocadovc desabafa tem gnt triste, tem gnt feliz, tem gnt depre…', 0
'RT @hyungjunlips: vida de produce stan é nao saber se fica feliz pelos favs que subiram no ranking ou triste pelos favs que caíram https://…', 0
'Mas tenho 2 visitas hoje, triste mas necessário', 0
'tô triste, preciso escutar sidoka', 0
'@nathx_ribeiro “eu isso Nathália, fiquei tão triste”', 0
'RT @sincerojesuis: no wpp: - vc n ficou triste nao né??- nao po rlxeu no twitter 2 minutos dps:acho engraçado q tem gente q nao tem…', 0
'o sorriso do yuta meu deus to triste ele eh apenas um bebe', 0
'RT @sincerojesuis: no wpp: - vc n ficou triste nao né??- nao po rlxeu no twitter 2 minutos dps:acho engraçado q tem gente q nao tem…', 0
'RT @herminiasonia1: Pois é.........muito triste. ', 0
'RT @inesrosendo10: As vezes gostava de ser chill, não ver nada, não me chatear com nada, não sentir raiva de nada, não ter nojo de nada, nã…', 0
'RT @falaloh: na madrugada triste e com tesão 😭😭😭😭😭🥵🥵🥵🥺🥺🥺🥺😔😔😔😭😭😭😭🥺🥺🥺🥵🥵🥵😔😔😔🥺🥺🥺🥺', 0
'se for fic eu vou ficar tão triste', 0
'RT @plantaonerdice: Notícia triste vindo de Um Bom Lugar 😔Michael Schur confirmou que a 4ª temporada de The Good Place também será a últi…', 0
'@hhomesickalien @nobodysnewyork muito triste a vida das pessoas que não conhecem o su', 0
'Quarta feira é dia dos namoradosSerá o primeiro da Blenda junto de mimNão passaremos juntos pois vou trabalhar… ', 0
'sdds do meu squad todo mano isso é triste demais pra mim ', 0
'RT @larisepmaia: acabei good girls, o que será de mim agora? tô triste', 0
'RT @gottabesirius: taehyung é um homão, gosta de música clássica, sabe tocar saxofone e tá aprendendo a tocar violino, ama arte, fotografia…', 0
'RT @renatonta: só queria ser twitera famosa pra receber cantada quando eu falar que tô triste e quero carinho na bunda', 0
'RT @IsabelaaFreitas: Quem ama não consegue ver o outro triste, chorando, deprimido, com o coração apertado. Quem ama quer enxugar a lágrima…', 0
'Acordei e fui ver o vídeo de TLis quase chorando. Eu tô taaaaaaaaaaao sentida, triste e feliz por ela ao mesmo tem… ', 0
'bom dia to triste pq vou realmente usar óculos e tenho q ver isso hojeou seja sair de casamas q caralhos vida', 0
'RT @LwithP: é difícil a vida do solteiro que escuta sertanejo e fica triste com os chifres que nem existem', 0
'@izabellyjavarys @craiskc @lia_medeiros1 claramente eu era a que ajudava a triste (júlia) e a izabelly falava tem q… ', 0
'RT @EyshilaMoreiraa: isso acontece cmg e eu fico mt triste e com a consciência pesada demais kkkkkkkkk ', 0
'RT @ThaisLinda24: Eu guardo muita mágoa cara, eu posso estar extremamente feliz. Do nada lembro das paradas é fico triste, sempre... Em rel…', 0
'Fico mesmo triste por nao poder ir PQP.', 0
'RT @nuvemmaria: O ilustrador Nicolas Amiard separou famosas duplas da cultura pop no projeto Summer Adventures como forma de conscientiza…', 0
'@danielamercury @PaolaCarosella O maior ensinamento de Jesus, as pessoas se esquecem.  Amar uns aos outros como… ', 0
'eu tô tão triste e nem é meme ', 0
'eu não to no clima e isso é triste', 0
'@GilAlonso_11 É triste :((', 0
'A tristeza pelo resultado de ontem vai passar. Mas o orgulho pelos nossos Guerreiros fica. Como o orgulho de ser Tr… ', 0
'Sabemos o tamanho da paixão de vocês por vosso time e sabemos o quanto a tristeza chega quando não correspondemos a… ', 0
'Há 5 anos o mundo do futebol perdia um cara fantástico. Os colorados perdiam uma referência. O capitão do Mundial,… ', 0
'RT @Desconhefatos: A esmagadora sensação de tristeza sem motivo aparente está ligada ao estresse emocional causado pela falta de alguém.', 0
'RT @karinabuhr: Uma denúncia de estupro contra um homem poderoso se transforma em glorificação d um condenado por feminicídio, uma fábrica…', 0
'Eis que bate aquela tristeza + raiva (e adicionais).Boa parte das pessoas: Vou beber.Eu: Vou ouvir Scicast de F… ', 0
'RT @craiskc: as vezes eu tenho uma tristeza PÓS ME VER EM FOTO ESPONTÂNEA sei la por exemplo algum amigo tira uma foto minha escondidoda…', 0
'RT @lfrancobastos: Para vocês, é só uma omelete de queijo e bacon mas para mim é o culminar de anos de trabalho, esforço, aprendizagem, res…', 0
'Imagina a nossa imagem no exterior com mais esta!! Que tristeza. Sou brasileira, com muita vergonha, com muito pavo… ', 0
'RT @_dannielzs: mais uma noite chega e com ela a depressão, a ansiedade, a insegurança, a tristeza, a vontade de chorar..', 0
'RT @ADRI44NO182: Ultimamente eu tenho trabalhado com  T. I.TRISTEZA E INSEGURANÇA', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @Ariielfreitas: O Rio Grande do Sul é o segundo estado com mais diferença salarial entre brancos e negros Porto Alegre é um sinônimo d…', 0
'Eu disfarçado minha tristeza ', 0
'RT @Desconhefatos: A esmagadora sensação de tristeza sem motivo aparente está ligada ao estresse emocional causado pela falta de alguém.', 0
'RT @Ariielfreitas: O Rio Grande do Sul é o segundo estado com mais diferença salarial entre brancos e negros Porto Alegre é um sinônimo d…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @niralima: @mariomagalhaes_ @ParisFilmes Difícil aceitar isso, Mário! Quer dizer que a turma da bozolândia está conseguindo sufocar noss…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'Amo o meu boy estou com ele na alegria ou na tristeza por mais que ele seja fdm😡🥰', 0
'Orra q tristeza ter q levanta com esse friozin', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @claraaconrado: Trabalhar sábado é uma tristeza', 0
'RT @_dannielzs: mais uma noite chega e com ela a depressão, a ansiedade, a insegurança, a tristeza, a vontade de chorar..', 0
'nao consigo mais dormir ate tarde meu deus que tristeza...', 0
'RT @_dannielzs: mais uma noite chega e com ela a depressão, a ansiedade, a insegurança, a tristeza, a vontade de chorar..', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @vicentedouglas: O que eu não tenho de beleza, eu tenho de tristeza.', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @GuiBallini: a cada dia que passa eu só consigo ter mais certeza de que uma das coisas que mais influencia minha tristeza é a internet/r…', 0
'@babybizarro Somos uma tristeza :/', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'A maior tristeza da minha vida é não poder ir pro giro hoje 😪 Deus sabe oq faz', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'Do nada uma tristeza , do nada essa vontade de chorar 😭', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @Ariielfreitas: O Rio Grande do Sul é o segundo estado com mais diferença salarial entre brancos e negros Porto Alegre é um sinônimo d…', 0
'RT @Yasmin66230579: Formada em TI: tristeza e insegurança', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @CtiaTeixeira13: Nao gosto d estar mal com ninguem mas nao consigo disfarçar a minha tristeza e desilusao por as vossas atitudes de merda', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @lehsantiago_: ai gente, tem pessoas citando meu tweet sobre não querer que lúcifer que acabe, dizendo que a série tem que ter um fim e…', 0
'Publicar coisas ruins, negativas não vai melhorar tua tristeza, nem ajudar alguém!!!Se vc buscar coisas boas, posi… ', 0
'RT @lehsantiago_: ai gente, tem pessoas citando meu tweet sobre não querer que lúcifer que acabe, dizendo que a série tem que ter um fim e…', 0
'RT @isadoraduart_: a TRISTEZA no meu olhar quando lembro do tanto de coisa q ja deixei de fazer por medo do que os outros pensam meu deus q…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @lehsantiago_: ai gente, tem pessoas citando meu tweet sobre não querer que lúcifer que acabe, dizendo que a série tem que ter um fim e…', 0
'RT @Ariielfreitas: O Rio Grande do Sul é o segundo estado com mais diferença salarial entre brancos e negros Porto Alegre é um sinônimo d…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @djthiagosc: mas foi na tristeza que eu conheci os meus amigos', 0
'Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e perma… ', 0
'E a tristeza de descobrir que o jogo do Brasil amanhã, vaj ser no horário da Uerj?', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @FluminenseFC: A tristeza pelo resultado de ontem vai passar. Mas o orgulho pelos nossos Guerreiros fica. Como o orgulho de ser Tricolor…', 0
'@lainesilva97 Bate uma tristeza', 0
'RT @_dannielzs: mais uma noite chega e com ela a depressão, a ansiedade, a insegurança, a tristeza, a vontade de chorar..', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'Uma tristeza enorme me invade, consigo sentir meu corpo tremer por completo. Estou em crise.', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'Você pode ficar viciado em um certo tipo de tristeza', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'@esqueciaideia @FlavioDino Kkkkkkk vem pra cá e saiba de fato o que é tristeza.', 0
'RT @vivapradeus: Amigo é aquele que enxerga sua tristeza escondida atrás de um sorriso.', 0
'Tô aqui livre pensando na tristeza que esse menino deve estar lá dentro nu isso me deixa bad dms 💔', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
'Junta a depressão, ansiedade, com gastrite nervosa, angústia, tristeza e mano eu só falto morrer.', 0
'RT @QueridoTextos: Quem realmente gosta de você, aguenta suas crises, suas manias, suas reclamações, seus momentos de tristeza e permanece…', 0
